title,franchise,year,generation,console,website,publisher,developer,genre,confidence,notes,source_file
GoldenEye 007,James Bond,1997,5th Generation,Nintendo 64,,Nintendo,Rare,FPS,High,,game_lists_5th_gen_enriched
Kirby 64: The Crystal Shards,Kirby,2000,5th Generation,Sony PlayStation,,Nintendo,HAL Laboratory,Platformer,High,,game_lists_5th_gen_enriched
LEGO Island 2: The Brickster’s Revenge,LEGO,2001,5th Generation,Sony PlayStation,,LEGO Media,Silicon Dreams Studio,Action-adventure,High,,game_lists_5th_gen_enriched
LEGO Racers,LEGO,1999,5th Generation,Sony PlayStation,,LEGO Media,High Voltage Software,Racing,High,,game_lists_5th_gen_enriched
LEGO Rock Raiders,LEGO,2000,5th Generation,Sony PlayStation,,LEGO Media,Data Design Interactive,Strategy,Medium,Console version differs from PC version.,game_lists_5th_gen_enriched
Dr. Mario 64,Mario,2001,5th Generation,Nintendo 64,,Nintendo,Nintendo Software Technology,Puzzle,High,,game_lists_5th_gen_enriched
Mario Artist: Polygon Studio,Mario,2000,5th Generation,Nintendo 64,,Nintendo,Nintendo,Creativity,Medium,Nintendo 64DD title.,game_lists_5th_gen_enriched
Mario Kart 64,Mario,1996,5th Generation,Nintendo 64,,Nintendo,Nintendo EAD,Kart Racing,High,,game_lists_5th_gen_enriched
Mario Party,Mario,1998,5th Generation,Nintendo 64,,Nintendo,Hudson Soft,Party,High,,game_lists_5th_gen_enriched
Mario Party 2,Mario,1999,5th Generation,Nintendo 64,,Nintendo,Hudson Soft,Party,High,,game_lists_5th_gen_enriched
Mario Party 3,Mario,2000,5th Generation,Nintendo 64,,Nintendo,Hudson Soft,Party,High,,game_lists_5th_gen_enriched
Paper Mario,Mario,2000,5th Generation,Nintendo 64,,Nintendo,Intelligent Systems,JRPG,High,,game_lists_5th_gen_enriched
Mario Golf,Mario,1999,5th Generation,Nintendo 64,,Nintendo,Camelot Software Planning,Sports,High,,game_lists_5th_gen_enriched
Mario Tennis,Mario,2000,5th Generation,Nintendo 64,,Nintendo,Camelot Software Planning,Sports,High,,game_lists_5th_gen_enriched
Super Mario 64,Mario,1996,5th Generation,Nintendo 64,,Nintendo,Nintendo EAD,Platformer,High,,game_lists_5th_gen_enriched
Marvel Super Heroes,Marvel,1997,5th Generation,Sony PlayStation,,Capcom,Capcom,Fighting,High,,game_lists_5th_gen_enriched
The Incredible Hulk: The Pantheon Saga,Marvel,1997,5th Generation,Sony PlayStation,,,,,Low,Needs manual review; metadata left blank due to uncertainty.,game_lists_5th_gen_enriched
Marvel Super Heroes vs. Street Fighter,Marvel,1999,5th Generation,Sony PlayStation,,Capcom,Capcom,Fighting,High,,game_lists_5th_gen_enriched
Marvel vs. Capcom: Clash of Super Heroes,Marvel,2000,5th Generation,Sony PlayStation,,Capcom,Capcom,Fighting,High,,game_lists_5th_gen_enriched
X-Men vs. Street Fighter,Marvel,1998,5th Generation,Sony PlayStation,,Capcom,Capcom,Fighting,High,,game_lists_5th_gen_enriched
Medal of Honor,Medal of Honor,1999,5th Generation,Sony PlayStation,,Electronic Arts,DreamWorks Interactive,FPS,High,,game_lists_5th_gen_enriched
Medal of Honor: Underground,Medal of Honor,2000,5th Generation,Sony PlayStation,,Electronic Arts,DreamWorks Interactive,FPS,High,,game_lists_5th_gen_enriched
Metal Gear Solid,Metal Gear,1998,5th Generation,Sony PlayStation,,Konami,Konami Computer Entertainment Japan,Stealth,High,,game_lists_5th_gen_enriched
Metal Gear Solid: VR Missions,Metal Gear,1999,5th Generation,Sony PlayStation,,Konami,Konami Computer Entertainment Japan,Stealth,High,Standalone expansion/mission pack.,game_lists_5th_gen_enriched
Mortal Kombat 3,Mortal Kombat,1995,5th Generation,Sony PlayStation,,Midway Games,Midway Games,Fighting,High,,game_lists_5th_gen_enriched
Mortal Kombat 4,Mortal Kombat,1998,5th Generation,Sony PlayStation,,Midway Games,Midway Games,Fighting,High,,game_lists_5th_gen_enriched
Mortal Kombat Mythologies: Sub-Zero,Mortal Kombat,1997,5th Generation,Sony PlayStation,,Midway Games,Avalanche Software,Action-adventure,High,,game_lists_5th_gen_enriched
Mortal Kombat: Special Forces,Mortal Kombat,2000,5th Generation,Sony PlayStation,,Midway Games,Midway Games,Action-adventure,High,,game_lists_5th_gen_enriched
Mortal Kombat Trilogy,Mortal Kombat,1996,5th Generation,Sony PlayStation,,Midway Games,Midway Games,Fighting,High,,game_lists_5th_gen_enriched
Mortal Kombat 4,Mortal Kombat,1998,5th Generation,Nintendo 64,,Midway Games,Eurocom,Fighting,High,,game_lists_5th_gen_enriched
Mortal Kombat Mythologies: Sub-Zero,Mortal Kombat,1997,5th Generation,Nintendo 64,,Midway Games,Avalanche Software,Action-adventure,High,,game_lists_5th_gen_enriched
Mortal Kombat Trilogy,Mortal Kombat,1996,5th Generation,Nintendo 64,,Midway Games,Avalanche Software,Fighting,High,,game_lists_5th_gen_enriched
Need for Speed II,Need for Speed,1997,5th Generation,Sony PlayStation,,Electronic Arts,EA Canada,Racing,High,,game_lists_5th_gen_enriched
Need for Speed III: Hot Pursuit,Need for Speed,1998,5th Generation,Sony PlayStation,,Electronic Arts,EA Canada,Racing,High,,game_lists_5th_gen_enriched
Need for Speed: High Stakes,Need for Speed,1999,5th Generation,Sony PlayStation,,Electronic Arts,EA Canada,Racing,High,,game_lists_5th_gen_enriched
Need for Speed: Porsche Unleashed,Need for Speed,2000,5th Generation,Sony PlayStation,,Electronic Arts,Eden Studios,Racing,High,,game_lists_5th_gen_enriched
Ms. Pac-Man Maze Madness,Pac-Man,2000,5th Generation,Sony PlayStation,,Namco,Namco Hometek,Maze,High,,game_lists_5th_gen_enriched
Pac-Man World,Pac-Man,2001,5th Generation,Sony PlayStation,,Namco,Namco Hometek,Platformer,High,,game_lists_5th_gen_enriched
Ms. Pac-Man Maze Madness,Pac-Man,2000,5th Generation,Nintendo 64,,Namco,Mass Media,Maze,Medium,,game_lists_5th_gen_enriched
Parasite Eve,Parasite Eve,1998,5th Generation,Sony PlayStation,,Square,Square,Action RPG,High,,game_lists_5th_gen_enriched
Parasite Eve II,Parasite Eve,1999,5th Generation,Sony PlayStation,,Square,Square,Survival Horror,High,,game_lists_5th_gen_enriched
Perfect Dark,Perfect Dark,2000,5th Generation,Nintendo 64,,Nintendo,Rare,FPS,High,,game_lists_5th_gen_enriched
Persona,Persona,1996,5th Generation,Sony PlayStation,,Atlus,Atlus,JRPG,High,,game_lists_5th_gen_enriched
Person 2: Eternal Punishment,Persona,2000,5th Generation,Sony PlayStation,,Atlus,Atlus,JRPG,High,Original title appears to be a typo for Persona 2: Eternal Punishment.,game_lists_5th_gen_enriched
Persona 2: Innocent Sin,Persona,1999,5th Generation,Sony PlayStation,,Atlus,Atlus,JRPG,High,,game_lists_5th_gen_enriched
Planet of the Apes,Planet of the Apes,2002,5th Generation,Sony PlayStation,,Ubisoft,Visiware,Action-adventure,Medium,,game_lists_5th_gen_enriched
Quake II,Quake,1999,5th Generation,Sony PlayStation,,Activision,id Software,FPS,High,,game_lists_5th_gen_enriched
Quake,Quake,1998,5th Generation,Nintendo 64,,Midway Games,id Software,FPS,High,Nintendo 64 port.,game_lists_5th_gen_enriched
Quake II,Quake,1999,5th Generation,Nintendo 64,,Activision,Raster Productions,FPS,High,,game_lists_5th_gen_enriched
Resident Evil,Resident Evil,1996,5th Generation,Sony PlayStation,,Capcom,Capcom,Survival Horror,High,,game_lists_5th_gen_enriched
Resident Evil 2,Resident Evil,1998,5th Generation,Sony PlayStation,,Capcom,Capcom,Survival Horror,High,,game_lists_5th_gen_enriched
Resident Evil 3: Nemesis,Resident Evil,1999,5th Generation,Sony PlayStation,,Capcom,Capcom,Survival Horror,High,,game_lists_5th_gen_enriched
Resident Evil Survivor,Resident Evil,2000,5th Generation,Sony PlayStation,,Capcom,Capcom,Light Gun Shooter,High,,game_lists_5th_gen_enriched
Resident Evil 2,Resident Evil,1999,5th Generation,Nintendo 64,,Capcom,Angel Studios,Survival Horror,High,,game_lists_5th_gen_enriched
Scooby-Doo and the Cyber Chase,Scooby-Doo!,2001,5th Generation,Sony PlayStation,,THQ,"Art Co., Ltd.",Action-adventure,Medium,,game_lists_5th_gen_enriched
Silent Hill,Silent Hill,1999,5th Generation,Sony PlayStation,,Konami,Team Silent,Survival Horror,High,,game_lists_5th_gen_enriched
Spec Ops: Airborne Commando,Spec Ops,2002,5th Generation,Sony PlayStation,,Take-Two Interactive,Runecraft,Tactical Shooter,Medium,,game_lists_5th_gen_enriched
Spec Ops: Covert Assault,Spec Ops,2001,5th Generation,Sony PlayStation,,Take-Two Interactive,Runecraft,Tactical Shooter,Medium,,game_lists_5th_gen_enriched
Spec Ops: Ranger Elite,Spec Ops,2001,5th Generation,Sony PlayStation,,Take-Two Interactive,Runecraft,Tactical Shooter,Medium,,game_lists_5th_gen_enriched
Spec Ops: Stealth Patrol,Spec Ops,2000,5th Generation,Sony PlayStation,,Take-Two Interactive,Runecraft,Tactical Shooter,Medium,,game_lists_5th_gen_enriched
Spider-Man,Spider-Man,2000,5th Generation,Sony PlayStation,,Activision,Neversoft,Action-adventure,High,,game_lists_5th_gen_enriched
Spider-Man 2: Enter Electro,Spider-Man,2001,5th Generation,Sony PlayStation,,Activision,Vicarious Visions,Action-adventure,High,,game_lists_5th_gen_enriched
Spider-Man,Spider-Man,2000,5th Generation,Nintendo 64,,Activision,Edge of Reality,Action-adventure,High,,game_lists_5th_gen_enriched
Spyro the Dragon,Spyro the Dragon,1998,5th Generation,Sony PlayStation,,Sony Computer Entertainment,Insomniac Games,Platformer,High,,game_lists_5th_gen_enriched
Spyro 2: Ripto’s Rage!,Spyro the Dragon,1999,5th Generation,Sony PlayStation,,Sony Computer Entertainment,Insomniac Games,Platformer,High,,game_lists_5th_gen_enriched
Spyro: Year of the Dragon,Spyro the Dragon,2000,5th Generation,Sony PlayStation,,Sony Computer Entertainment,Insomniac Games,Platformer,High,,game_lists_5th_gen_enriched
Star Fox 64,Star Fox,1996,5th Generation,Nintendo 64,,Nintendo,Nintendo EAD,Rail Shooter,High,,game_lists_5th_gen_enriched
Star Wars - Episode I: Jedi Power Battles,Star Wars,2000,5th Generation,Sony PlayStation,,LucasArts,LucasArts,Action,High,,game_lists_5th_gen_enriched
Star Wars - Episode I: The Phantom Menace,Star Wars,2001,5th Generation,Sony PlayStation,,LucasArts,Big Ape Productions,Action-adventure,High,,game_lists_5th_gen_enriched
Star Wars: Dark Forces,Star Wars,1996,5th Generation,Sony PlayStation,,LucasArts,LucasArts,FPS,High,,game_lists_5th_gen_enriched
Star Wars: Demolition,Star Wars,2000,5th Generation,Sony PlayStation,,LucasArts,Luxoflux,Vehicular Combat,High,,game_lists_5th_gen_enriched
Star Wars: Masters of Teräs Käsi,Star Wars,1997,5th Generation,Sony PlayStation,,LucasArts,LucasArts,Fighting,High,,game_lists_5th_gen_enriched
Star Wars: Rebel Assault II - The Hidden Empire,Star Wars,1996,5th Generation,Sony PlayStation,,LucasArts,LucasArts,Rail Shooter,High,,game_lists_5th_gen_enriched
Star Wars - Episode I: Battle for Naboo,Star Wars,2000,5th Generation,Nintendo 64,,LucasArts,Factor 5,Action,High,,game_lists_5th_gen_enriched
Star Wars - Episode I: Racer,Star Wars,1999,5th Generation,Nintendo 64,,LucasArts,LucasArts,Racing,High,,game_lists_5th_gen_enriched
Star Wars: Rogue Squadron 3D,Star Wars,1998,5th Generation,Nintendo 64,,LucasArts,Factor 5,Flight Action,High,,game_lists_5th_gen_enriched
Super Smash Bros.,Super Smash Bros.,1999,5th Generation,Nintendo 64,,Nintendo,HAL Laboratory,Fighting,High,,game_lists_5th_gen_enriched
The Legend of Zelda: Majora’s Mask,The Legend of Zelda,2000,5th Generation,Nintendo 64,,Nintendo,Nintendo EAD,Action-adventure,High,,game_lists_5th_gen_enriched
The Legend of Zelda: Ocarina of Time,The Legend of Zelda,1998,5th Generation,Nintendo 64,,Nintendo,Nintendo EAD,Action-adventure,High,,game_lists_5th_gen_enriched
The Simpsons Wrestling,The Simpsons,2001,5th Generation,Sony PlayStation,,Electronic Arts,Big Ape Productions,Fighting,High,,game_lists_5th_gen_enriched
Tom Clancy’s Rainbow Six,Tom Clancy,1999,5th Generation,Sony PlayStation,,Red Storm Entertainment,Red Storm Entertainment,Tactical Shooter,High,,game_lists_5th_gen_enriched
Tom Clancy’s Rainbow Six: Lone Wolf,Tom Clancy,2002,5th Generation,Sony PlayStation,,Ubisoft,Red Storm Entertainment,Tactical Shooter,Medium,,game_lists_5th_gen_enriched
Tom Clancy’s Rainbow Six: Rogue Spear,Tom Clancy,2001,5th Generation,Sony PlayStation,,Red Storm Entertainment,Red Storm Entertainment,Tactical Shooter,High,,game_lists_5th_gen_enriched
Tom Clancy’s Rainbow Six,Tom Clancy,1999,5th Generation,Nintendo 64,,Red Storm Entertainment,Saffire,Tactical Shooter,Medium,,game_lists_5th_gen_enriched
Tomb Raider,Tomb Raider,1996,5th Generation,Sony PlayStation,,Eidos Interactive,Core Design,Action-adventure,High,,game_lists_5th_gen_enriched
Tomb Raider,Tomb Raider,1996,5th Generation,Sony PlayStation,,Eidos Interactive,Core Design,Action-adventure,High,,game_lists_5th_gen_enriched
Tomb Raider II,Tomb Raider,1997,5th Generation,Sony PlayStation,,Eidos Interactive,Core Design,Action-adventure,High,,game_lists_5th_gen_enriched
Tomb Raider III: Adventures of Lara Croft,Tomb Raider,1998,5th Generation,Sony PlayStation,,Eidos Interactive,Core Design,Action-adventure,High,,game_lists_5th_gen_enriched
Tomb Raider: The Last Revelation,Tomb Raider,1999,5th Generation,Sony PlayStation,,Eidos Interactive,Core Design,Action-adventure,High,,game_lists_5th_gen_enriched
Tomb Raider: Chronicles,Tomb Raider,2000,5th Generation,Sony PlayStation,,Eidos Interactive,Core Design,Action-adventure,High,,game_lists_5th_gen_enriched
Transformers: Beast Wars Transmetals,Transformers,1999,5th Generation,Sony PlayStation,,BAM! Entertainment,Tarantula Studios,Fighting,Medium,,game_lists_5th_gen_enriched
Transformers: Beast Wars Transmetals,Transformers,1999,5th Generation,Nintendo 64,,BAM! Entertainment,Locomotive Games,Fighting,Medium,,game_lists_5th_gen_enriched
Turok 2: Seeds of Evil,Turok,1999,5th Generation,Nintendo 64,,Acclaim Entertainment,Iguana Entertainment,FPS,High,,game_lists_5th_gen_enriched
Turok 3: Shadow of Oblivion,Turok,2000,5th Generation,Nintendo 64,,Acclaim Entertainment,Iguana Entertainment,FPS,High,,game_lists_5th_gen_enriched
Turok: Dinosaur Hunter,Turok,1997,5th Generation,Nintendo 64,,Acclaim Entertainment,Iguana Entertainment,FPS,High,,game_lists_5th_gen_enriched
Turok: Rage of Wars,Turok,1999,5th Generation,Nintendo 64,,Acclaim Entertainment,Iguana Entertainment,FPS,High,,game_lists_5th_gen_enriched
Twisted Metal,Twisted Metal,1995,5th Generation,Sony PlayStation,,Sony Computer Entertainment,SingleTrac,Vehicular Combat,High,,game_lists_5th_gen_enriched
Twisted Metal 2,Twisted Metal,1996,5th Generation,Sony PlayStation,,Sony Computer Entertainment,SingleTrac,Vehicular Combat,High,,game_lists_5th_gen_enriched
Twisted Metal III,Twisted Metal,1998,5th Generation,Sony PlayStation,,989 Studios,989 Studios,Vehicular Combat,High,,game_lists_5th_gen_enriched
Twisted Metal 4,Twisted Metal,1999,5th Generation,Sony PlayStation,,989 Studios,989 Studios,Vehicular Combat,High,,game_lists_5th_gen_enriched
Twisted Metal: Small Brawl,Twisted Metal,2001,5th Generation,Sony PlayStation,,Sony Computer Entertainment,Incognito Entertainment,Vehicular Combat,High,,game_lists_5th_gen_enriched
X-Men: Children of the Atom,Marvel,1998,5th Generation,Sony PlayStation,,Capcom,Capcom,Fighting,High,,game_lists_5th_gen_enriched
X-Men: Mutant Academy,Marvel,2000,5th Generation,Sony PlayStation,,Activision,Paradox Development,Fighting,High,,game_lists_5th_gen_enriched
X-Men: Mutant Academy 2,Marvel,2001,5th Generation,Sony PlayStation,,Activision,Paradox Development,Fighting,High,,game_lists_5th_gen_enriched
Chrono Trigger,,1999,5th Generation,Sony PlayStation,,Square,Square,JRPG,High,PlayStation version included in Final Fantasy Chronicles in North America.,game_lists_5th_gen_enriched
Conker’s Bad Fur Day,,2001,5th Generation,Nintendo 64,,Nintendo,Rare,Platformer,High,,game_lists_5th_gen_enriched
Mizzurna Falls,,1998,5th Generation,Sony PlayStation,,Human Entertainment,Human Entertainment,Adventure,Medium,Japan-only title.,game_lists_5th_gen_enriched
Phoenix Wright: Ace Attorney,Ace Attorney,2005,6th Generation,Nintendo DS,,Capcom,Capcom,Visual Novel,High,,game_lists_6th_gen_enriched
Phoenix Wright: Ace Attorney - Justice for All,Ace Attorney,2006,6th Generation,Nintendo DS,,Capcom,Capcom,Visual Novel,High,,game_lists_6th_gen_enriched
Phoenix Wright: Ace Attorney - Trials and Tribulations,Ace Attorney,2007,6th Generation,Nintendo DS,,Capcom,Capcom,Visual Novel,High,,game_lists_6th_gen_enriched
Ace Attorney Investigations: Miles Edgeworth,Ace Attorney,2009,6th Generation,Nintendo DS,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Aliens vs. Predator: Extinction,Alien,2003,6th Generation,Sony PlayStation 2,,Sierra Entertainment,Zono,RTS,Medium,,game_lists_6th_gen_enriched
Aliens vs. Predator: Requiem,Alien,2007,6th Generation,Sony PlayStation Portable,,Sierra Entertainment,,Action,Low,Needs manual review.,game_lists_6th_gen_enriched
Aliens: Infestation,Alien,2011,6th Generation,Nintendo DS,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Alone in the Dark,Alone in the Dark,2008,6th Generation,Sony PlayStation 2,,Atari,Eden Games,Survival Horror,Medium,Developer varies for some ports.,game_lists_6th_gen_enriched
Alone in the Dark: The New Nightmare,Alone in the Dark,2001,6th Generation,Sony PlayStation 2,,Infogrames,Darkworks,Survival Horror,High,,game_lists_6th_gen_enriched
Animal Crossing,Animal Crossing,2001,6th Generation,Nintendo GameCube,,Nintendo,Nintendo EAD,Life simulation,High,,game_lists_6th_gen_enriched
Army of Two: The 40th Day,Army of Two,2010,6th Generation,Sony PlayStation Portable,,Electronic Arts,EA Montreal,Third-person Shooter,High,,game_lists_6th_gen_enriched
Asphalt: Urban GT,Asphalt,2004,6th Generation,Nintendo DS,,Gameloft,Gameloft,Racing,High,,game_lists_6th_gen_enriched
Asphalt: Urban GT 2,Asphalt,2006,6th Generation,Nintendo DS,,Gameloft,Gameloft,Racing,High,,game_lists_6th_gen_enriched
Asphalt: Urban GT 2,Asphalt,2007,6th Generation,Sony PlayStation Portable,,Gameloft,Gameloft,Racing,High,,game_lists_6th_gen_enriched
Assassin’s Creed II: Discovery,Assassin's Creed,2009,6th Generation,Nintendo DS,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Assassin’s Creed: Altaïr’s Chronicles,Assassin's Creed,2008,6th Generation,Nintendo DS,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Assassin’s Creed: Bloodlines,Assassin's Creed,2009,6th Generation,Sony PlayStation Portable,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Avatar: The Last Airbender,Avatar,2006,6th Generation,Nintendo DS,,THQ,THQ Studio Australia,Action-adventure,Medium,,game_lists_6th_gen_enriched
James Cameron’s Avatar,Avatar,2009,6th Generation,Nintendo DS,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
James Cameron’s Avatar,Avatar,2009,6th Generation,Sony PlayStation Portable,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
